upper_zone,middle_zone,lower_zone,median_width,most_occurring_angle,average_angle,stdev_angle
0.5476190476190477,0.25,0.20238095238095238,21,90.0,91.5,2.6
0.4896551724137931,0.30344827586206896,0.20689655172413793,20,90.0,90.0,0.0
0.40404040404040403,0.3838383838383838,0.21212121212121213,18.0,90.0,118.0,45.5
0.5142857142857142,0.2785714285714286,0.20714285714285716,16.0,90.0,91.5,2.3
0.5823529411764706,0.25882352941176473,0.1588235294117647,19.0,94.5,93.0,2.6
0.39814814814814814,0.37962962962962965,0.2222222222222222,18.5,90.0,69.2,29.7
0.4225352112676056,0.34507042253521125,0.2323943661971831,18,94.5,94.5,0.0
0.45222929936305734,0.2929936305732484,0.25477707006369427,17,94.5,96.3,2.5
0.5068493150684932,0.3219178082191781,0.17123287671232876,20.5,175.5,158.4,38.2
0.5193370165745856,0.24861878453038674,0.23204419889502761,17.5,175.5,0,0
0.23958333333333334,0.3645833333333333,0.3958333333333333,12.5,58.5,61.2,5.3
0.23863636363636365,0.29545454545454547,0.4659090909090909,12,49.5,56.2,12.8
0.20430107526881722,0.4838709677419355,0.3118279569892473,14.5,58.5,66.0,16.2
0.33636363636363636,0.32727272727272727,0.33636363636363636,12,58.5,57.8,6.0
0.34782608695652173,0.34782608695652173,0.30434782608695654,11,72.0,55.8,12.6
0.3434343434343434,0.29292929292929293,0.36363636363636365,12.5,63.0,58.5,14.5
0.29896907216494845,0.32989690721649484,0.3711340206185567,12,54.0,60.4,9.7
0.2857142857142857,0.22321428571428573,0.49107142857142855,8.5,72.0,69.2,9.0
0.3068181818181818,0.3068181818181818,0.38636363636363635,11.0,58.5,64.0,19.2
0.38181818181818183,0.3,0.3181818181818182,14,49.5,50.6,2.2
0.34615384615384615,0.33653846153846156,0.3173076923076923,19.0,58.5,60.0,9.3
0.26804123711340205,0.28865979381443296,0.44329896907216493,11,72.0,59.6,10.0
0.40186915887850466,0.2897196261682243,0.308411214953271,10.5,58.5,55.5,5.2
0.27835051546391754,0.29896907216494845,0.422680412371134,13,63.0,63.0,12.6
0.32673267326732675,0.25742574257425743,0.4158415841584158,8.0,54.0,63.0,10.1
0.25806451612903225,0.25806451612903225,0.4838709677419355,12.0,63.0,65.0,15.7
0.32075471698113206,0.330188679245283,0.3490566037735849,14,67.5,55.7,11.0
0.125,0.3,0.575,12.0,49.5,54.8,5.0
0.3425925925925926,0.24074074074074073,0.4166666666666667,12.5,63.0,60.2,3.3
0.3076923076923077,0.2403846153846154,0.4519230769230769,11.0,54.0,62.0,13.1
0.37383177570093457,0.2336448598130841,0.3925233644859813,9.5,58.5,64.8,8.0
0.32673267326732675,0.31683168316831684,0.3564356435643564,10.5,76.5,63.6,10.0
0.3,0.35555555555555557,0.34444444444444444,11,94.5,72.0,22.9
0.26881720430107525,0.4731182795698925,0.25806451612903225,11.5,72.0,63.0,11.7
0.31896551724137934,0.3275862068965517,0.35344827586206895,15,76.5,66.6,12.1
0.32,0.38,0.3,11.5,4.5,34.1,27.4
0.2767857142857143,0.33035714285714285,0.39285714285714285,10.5,36.0,46.1,17.4
0.2661290322580645,0.3709677419354839,0.3629032258064516,12.5,175.5,0,0
0.15217391304347827,0.43478260869565216,0.41304347826086957,12,54.0,59.5,8.1
0.3333333333333333,0.25833333333333336,0.4083333333333333,9,54.0,54.0,0
0.32407407407407407,0.28703703703703703,0.3888888888888889,13.0,67.5,64.5,3.7
0.2736842105263158,0.2736842105263158,0.45263157894736844,14.0,63.0,67.5,9.9
0.10526315789473684,0.3815789473684211,0.5131578947368421,13,49.5,53.2,4.9
0.14606741573033707,0.3258426966292135,0.5280898876404494,12,49.5,57.3,9.4
0.2978723404255319,0.30851063829787234,0.39361702127659576,10.5,67.5,60.7,9.2
0.32673267326732675,0.37623762376237624,0.297029702970297,15.0,54.0,54.3,9.5
0.2571428571428571,0.3333333333333333,0.4095238095238095,11.0,58.5,60.7,9.8
0.24489795918367346,0.3163265306122449,0.4387755102040816,14,67.5,64.8,6.8
0.32,0.25,0.43,8.0,63.0,56.3,7.8
0.2403846153846154,0.3557692307692308,0.40384615384615385,11.0,58.5,59.0,9.4
0.33653846153846156,0.3173076923076923,0.34615384615384615,13,4.5,24.6,31.1
0.39705882352941174,0.29411764705882354,0.3088235294117647,10.5,58.5,60.0,2.6
0.3277310924369748,0.29411764705882354,0.37815126050420167,11.5,9.0,24.4,23.8
0.4032258064516129,0.2903225806451613,0.3064516129032258,10.5,72.0,62.1,14.4
0.3983739837398374,0.2601626016260163,0.34146341463414637,12.0,49.5,47.6,9.3
0.4444444444444444,0.2564102564102564,0.29914529914529914,9,67.5,57.2,13.1
0.3103448275862069,0.28448275862068967,0.4051724137931034,12,36.0,47.1,13.3
0.34782608695652173,0.2782608695652174,0.3739130434782609,11,54.0,54.0,10.4
0.4198473282442748,0.26717557251908397,0.31297709923664124,13.0,63.0,60.7,3.2
0.3442622950819672,0.2786885245901639,0.3770491803278688,12.5,58.5,61.5,5.5
0.37815126050420167,0.2689075630252101,0.35294117647058826,10.0,63.0,73.6,14.7
0.46017699115044247,0.30973451327433627,0.23008849557522124,13,67.5,54.8,16.3
